SIP	DIP	SPORT	DPORT	PROTO	TGH	AVG	MAX	TOTAL	WIRE	#PKTS	FIRST	LAST	INTERARRIVAL	DUR
133.136.250.44	252.103.120.30	80	53704	6	0	0	2214	65595	68091	46	2018-09-21 14:11:26.172536	2018-09-21 14:11:42.650704	365	16478
252.103.119.185	133.136.250.44	57349	8194	6	0	0	2357	1954729	2268739	5815	2018-09-21 14:11:31.944237	2018-09-28 14:52:06.725651	104443	607234781
133.136.250.44	252.103.119.185	8194	57349	6	0	0	1893	539073	762849	4144	2018-09-21 14:11:31.944818	2018-09-28 14:52:06.516460	146568	607234571
252.103.120.22	208.103.225.198	55789	1900	17	0	0	125	217992	291828	1758	2018-09-21 14:11:39.498339	2018-09-25 15:40:41.628536	199738	350942130
252.103.120.22	133.136.250.44	49225	8194	6	0	0	2197	310593	369345	1088	2018-09-21 14:11:49.692996	2018-09-25 15:53:39.663741	323559	351709970
133.136.250.44	252.103.120.22	8194	49225	6	0	0	92	39098	67178	520	2018-09-21 14:11:49.763160	2018-09-25 15:53:39.663395	677667	351709900
252.103.120.22	252.103.120.32	138	138	17	0	0	201	684816	827952	3408	2018-09-21 14:12:11.340622	2018-09-28 14:59:21.677329	178347	607630336
252.103.119.175	133.136.253.241	62010	53	17	0	0	35	35	77	1	2018-09-21 14:12:45.667877	2018-09-21 14:12:45.667877	0	0
133.136.253.241	252.103.119.175	53	62010	17	0	0	115	115	157	1	2018-09-21 14:12:45.668279	2018-09-21 14:12:45.668279	0	0
252.103.120.30	252.103.120.32	138	138	17	0	0	201	679380	821340	3380	2018-09-21 14:13:39.118649	2018-09-28 15:02:30.908862	179855	607731790
252.103.120.48	252.103.120.32	138	138	17	0	0	201	679380	821340	3380	2018-09-21 14:14:08.779187	2018-09-28 15:02:58.862853	179854	607730083
252.103.120.7	133.136.250.44	49159	8194	6	0	0	2357	1735086	2009052	5073	2018-09-21 14:15:10.533479	2018-09-28 14:48:03.271584	119631	606772738
133.136.250.44	252.103.120.7	8194	49159	6	0	0	1893	468821	659933	3538	2018-09-21 14:15:10.578045	2018-09-28 14:48:03.063190	171549	606772485
252.103.120.7	133.136.250.44	63165	80	6	0	0	257	1270	3064	33	2018-09-21 14:15:20.616285	2018-09-21 14:15:56.244837	1113	35628
133.136.250.44	252.103.120.7	80	63165	6	0	0	2214	68936	71540	48	2018-09-21 14:15:20.616499	2018-09-21 14:15:36.395176	335	15778
252.103.120.7	133.136.253.241	58414	53	17	0	0	268	27730	33610	140	2018-09-21 14:15:31.685008	2018-09-24 14:35:33.958411	1873397	260402273
133.136.253.241	252.103.120.7	53	58414	17	0	0	383	34440	40320	140	2018-09-21 14:15:31.703642	2018-09-24 14:35:33.977746	1873397	260402274
252.103.120.7	133.136.253.241	52513	53	17	0	0	268	28648	35494	163	2018-09-21 14:15:31.749604	2018-09-24 14:35:33.978549	1607420	260402228
133.136.253.241	252.103.120.7	53	52513	17	0	0	383	34846	41692	163	2018-09-21 14:15:31.767250	2018-09-24 14:35:33.996800	1607420	260402229
252.103.119.175	133.136.250.44	53206	80	6	0	0	257	1270	3064	33	2018-09-21 14:15:50.775466	2018-09-21 14:16:19.996418	912	29220
133.136.250.44	252.103.119.175	80	53206	6	0	0	2214	65595	68091	46	2018-09-21 14:15:50.775759	2018-09-21 14:16:04.758118	310	13982
252.103.119.175	133.136.253.241	50359	53	17	0	0	268	46872	58632	280	2018-09-21 14:16:00.837358	2018-09-28 14:36:03.321467	2172051	606002484
133.136.253.241	252.103.119.175	53	50359	17	0	0	389	56741	68501	280	2018-09-21 14:16:00.855464	2018-09-28 14:36:03.341387	2172051	606002485
252.103.119.175	133.136.253.241	62044	53	17	0	0	268	38473	46831	199	2018-09-21 14:16:00.937763	2018-09-28 14:36:03.340158	3060617	606002402
133.136.253.241	252.103.119.175	53	62044	17	0	0	389	47808	56166	199	2018-09-21 14:16:00.956280	2018-09-28 14:36:03.359113	3060617	606002402
252.103.120.20	133.136.253.241	58939	53	17	0	0	268	84206	101930	422	2018-09-21 14:19:15.395020	2018-09-28 14:44:31.416379	1440180	606316021
133.136.253.241	252.103.120.20	53	58939	17	0	0	389	100837	118561	422	2018-09-21 14:19:15.415705	2018-09-28 14:44:31.436679	1440180	606316020
252.103.120.20	133.136.253.74	57715	889	6	0	0	1623	3453	3843	7	2018-09-21 14:19:15.474495	2018-09-21 14:21:46.047389	25094	150572
133.136.253.74	252.103.120.20	889	57715	6	0	0	1322	4454	5330	16	2018-09-21 14:19:15.475010	2018-09-21 14:23:07.304755	15454	231829
252.103.120.22	133.136.250.44	54883	80	6	0	0	254	757	1201	8	2018-09-21 14:20:24.631240	2018-09-21 14:20:33.376362	1248	8745
133.136.250.44	252.103.120.22	80	54883	6	0	0	2214	3257	3485	4	2018-09-21 14:20:24.631432	2018-09-21 14:20:26.204125	523	1572
252.103.119.175	252.103.119.185	53207	139	6	0	0	244	1990	3310	24	2018-09-21 14:20:58.695503	2018-09-21 14:21:13.497229	643	14801
252.103.119.185	252.103.119.175	139	53207	6	0	0	255	1880	2984	20	2018-09-21 14:20:58.696057	2018-09-21 14:21:13.496575	778	14800
252.103.119.175	252.103.119.185	53208	139	6	0	0	220	1958	3386	26	2018-09-21 14:20:58.710445	2018-09-21 14:21:13.500041	591	14789
252.103.119.185	252.103.119.175	139	53208	6	0	0	366	2238	3450	22	2018-09-21 14:20:58.710983	2018-09-21 14:21:13.499415	704	14788
252.103.120.20	208.103.225.198	53309	1900	17	0	0	133	378060	506076	3048	2018-09-21 14:22:13.677123	2018-09-28 14:54:20.898880	199122	606727221
252.103.120.20	133.136.250.44	57738	80	6	0	0	254	757	1201	8	2018-09-21 14:24:12.320243	2018-09-21 14:24:21.384121	1294	9063
133.136.250.44	252.103.120.20	80	57738	6	0	0	2214	3257	3485	4	2018-09-21 14:24:12.320441	2018-09-21 14:24:14.120771	599	1800
252.103.119.185	133.136.253.74	63338	889	6	0	0	190	190	526	6	2018-09-21 14:25:38.904081	2018-09-21 14:25:38.943587	7	39
133.136.253.74	252.103.119.185	889	63338	6	0	0	240	242	524	5	2018-09-21 14:25:38.904426	2018-09-21 14:25:38.942657	9	38
252.103.120.30	133.136.253.74	53708	889	6	0	0	190	190	526	6	2018-09-21 14:26:25.947889	2018-09-21 14:26:25.970098	4	22
